model,num_samples,overall_kl,overall_mae
Qwen3,0,1.2499476249109898,0.18537698433030614
Qwen3,10,0.7099121010921384,0.12312650488310363
Qwen3,20,0.670283490650382,0.10637290425112306
Qwen3,30,0.5693797406474899,0.0920308587329994
Qwen3,40,0.5965269621571375,0.10704286761048906
Qwen3,50,0.5158632348268594,0.07196295188923232
Qwen3,60,0.7524208688819599,0.0864603946397006
Qwen3,70,0.5955556201358517,0.08451807827124287
Qwen3,80,0.7622341451906105,0.09797656292740929
Qwen3,90,0.46216373198801874,0.06994219841764614
Qwen3,100,0.6004565558727457,0.08773702181336378
Qwen3,200,0.5614650400788572,0.07595247819321597
Qwen3,300,0.506073635934402,0.08335557010733388
Qwen3,400,0.5808781678672827,0.0706879757681319
Qwen3,500,0.5092652615462282,0.08728450730895283
Qwen3,600,0.5346552635318276,0.08112880983624446
Qwen3,700,0.4223301174263065,0.08749920411835324
Qwen3,800,0.5350125682996445,0.09079368526018342
Qwen3,900,0.4866567452795279,0.07957346016878715
Qwen3,1000,0.5332312277767526,0.09101372489469511
Gemma3,0,2.456675240978849,0.23096046082234215
Gemma3,10,1.073619944443052,0.16505599681948646
Gemma3,20,0.9809746129752618,0.15593255899677988
Gemma3,30,0.7970204690201024,0.13363955178456138
Gemma3,40,0.70072361511466,0.12454301834763307
Gemma3,50,0.5669922357818034,0.09191114658579658
Gemma3,60,0.69943933401648,0.09921772661672874
Gemma3,70,0.7118292864658631,0.1004334800181978
Gemma3,80,0.63895913957649,0.09990199647799135
Gemma3,90,0.5216924782629869,0.08384283258677792
Gemma3,100,0.6822415528797464,0.10345692077842474
Gemma3,200,0.6961407779533118,0.11055348904884567
Gemma3,300,0.7015257728463443,0.11936884277600752
Gemma3,400,0.3792118895726987,0.09606277266323121
Gemma3,500,0.4181072451302514,0.09796872826156347
Gemma3,600,0.4265530508335045,0.09648504694481852
Gemma3,700,0.4935200857013186,0.09960812578571193
Gemma3,800,0.4313684151756335,0.08294533462950816
Gemma3,900,0.6039370335276901,0.114725841841108
Gemma3,1000,0.5718994453618357,0.08351904044146811
Llama3.1,0,1.2856008253310458,0.17223471442391836
Llama3.1,10,0.8234187867738189,0.14852419588577795
Llama3.1,20,0.6989337272341977,0.12744244346437694
Llama3.1,30,0.7677111274750018,0.14027250465550586
Llama3.1,40,0.7074298454229818,0.14341082423638965
Llama3.1,50,0.7337470778216375,0.10993125210987356
Llama3.1,60,0.4823253903555719,0.09854101520617017
Llama3.1,70,0.8239077453001284,0.09321572472927928
Llama3.1,80,0.8010333705224933,0.12290977333860444
Llama3.1,90,0.539617852051965,0.08716471635546905
Llama3.1,100,0.7331605135759595,0.11421677739815918
Llama3.1,200,0.7707877757522228,0.11260485814039164
Llama3.1,300,0.6642676103668256,0.12604857456128818
Llama3.1,400,0.5748466432720077,0.10452353295832759
Llama3.1,500,0.4254146432305717,0.08383420210890356
Llama3.1,600,0.5292797357114173,0.1020073363206119
Llama3.1,700,0.5933870877041361,0.115900240643613
Llama3.1,800,0.7000285303348784,0.12734830325308888
Llama3.1,900,0.5464988601099978,0.1058815723239265
Llama3.1,1000,0.6422515278070926,0.11432640967090874
