,model,num_samples,overall_kl,overall_mae
0,mobility_agent,0,1.3639250843391064,0.16587260398243492
1,mobility_agent,100,0.9705243779264994,0.067883297793049
2,RF,100,1.81623311386745,0.0923477742971043
3,XGB,100,2.8115183132494597,0.10650665791944597
4,MLP,100,3.7268450269784505,0.10822008269949386
5,mobility_agent,200,0.5656757753337194,0.07150755048400945
6,RF,200,1.0187366310630634,0.0804138617403705
7,XGB,200,2.3859232816654234,0.09113183000734419
8,MLP,200,3.51663883464607,0.10854420771650883
9,mobility_agent,300,0.5185716746263525,0.07734543502909255
10,RF,300,0.9804065787128233,0.06731248754071673
11,XGB,300,1.7532017548002512,0.08447590879401053
12,MLP,300,3.0279683064118803,0.10632510741040685
13,mobility_agent,400,0.5701168050707386,0.06528166322899272
14,RF,400,0.9670672936479654,0.07060769627220129
15,XGB,400,2.0092485243744025,0.08976050462609944
16,MLP,400,5.898532209436443,0.1435439494350644
17,mobility_agent,500,0.5386870159812605,0.07591832982716348
18,RF,500,1.3273673039774079,0.07925163597735602
19,XGB,500,2.1290080010733137,0.094851579767443
20,MLP,500,4.824193359669691,0.13466011189252047
21,mobility_agent,600,0.5395332617563062,0.07421166559530717
22,RF,600,1.1898567129500224,0.08319230832459043
23,XGB,600,1.9366643223879092,0.09197680255162051
24,MLP,600,4.570854949934721,0.13704003873286266
25,mobility_agent,700,0.4379858409083518,0.07349733530152222
26,RF,700,1.0258068954200037,0.07426036374716474
27,XGB,700,1.6966114533266328,0.08897417120296107
28,MLP,700,2.817520483835283,0.11720244078311175
29,mobility_agent,800,0.5633467217065232,0.0787336035353967
30,RF,800,0.8340457289095643,0.06916059405503792
31,XGB,800,1.744280747314273,0.0848325773577086
32,MLP,800,3.803724082722534,0.1284788215150108
33,mobility_agent,900,0.5007602156267195,0.0718629803230617
34,RF,900,0.7124375812681512,0.06836411860148432
35,XGB,900,1.7592255307658753,0.0922390672581152
36,MLP,900,3.6579281515278383,0.12624580476147632
37,mobility_agent,1000,2.9340503356221403,0.20593430242854271
38,RF,1000,0.7222869015122019,0.06283764379254858
39,XGB,1000,1.744753851636185,0.09716908182691182
40,MLP,1000,4.303229511131265,0.12061219794185145
