,feature,value,target,sample_size,kl_divergence,mae,num_samples
0,age_group,Under 18,primary_mode,85,0.7923293427068866,0.1647058823529412,0
1,age_group,Under 18,duration_minutes,85,0.967851846668657,0.19215686274509802,0
2,age_group,55-64,primary_mode,80,0.5337438515272335,0.1357142857142857,0
3,age_group,55-64,duration_minutes,80,0.9995247092191807,0.153125,0
4,age_group,65+,primary_mode,96,1.8842438629211262,0.13690476190476192,0
5,age_group,65+,duration_minutes,96,1.0204958072858428,0.18154761904761904,0
6,age_group,18-24,primary_mode,229,0.685832220315886,0.148471615720524,0
7,age_group,18-24,duration_minutes,229,0.6165501689143988,0.1372426699937617,0
8,age_group,25-34,primary_mode,266,0.6882777623798174,0.1439312567132116,0
9,age_group,25-34,duration_minutes,266,1.2932685827335368,0.15371762740183792,0
10,age_group,35-44,primary_mode,144,1.1148855931064643,0.1626984126984127,0
11,age_group,35-44,duration_minutes,144,1.5567318795019986,0.18229166666666669,0
12,age_group,45-54,primary_mode,100,0.9857624226073388,0.12571428571428572,0
13,age_group,45-54,duration_minutes,100,1.8371982290337139,0.26666666666666666,0
14,income_group,$100k-$150k,primary_mode,166,0.7115833589323174,0.12564543889845095,0
15,income_group,$100k-$150k,duration_minutes,166,1.1256002806190846,0.1671686746987952,0
16,income_group,$10k-$50k,primary_mode,103,0.7226341143111442,0.15256588072122051,0
17,income_group,$10k-$50k,duration_minutes,103,0.9405772702341685,0.17198335644937585,0
18,income_group,$300k+,primary_mode,175,0.9752461020410057,0.14857142857142858,0
19,income_group,$300k+,duration_minutes,175,1.2536438465493684,0.22857142857142854,0
20,income_group,$50k-$100k,primary_mode,137,0.739984844667757,0.15015641293013557,0
21,income_group,$50k-$100k,duration_minutes,137,1.209915864394905,0.18769551616266944,0
22,income_group,Under $10k,primary_mode,195,0.7402213480802806,0.1509157509157509,0
23,income_group,Under $10k,duration_minutes,195,0.5902861582421629,0.12747252747252744,0
24,income_group,$200k-$300k,primary_mode,135,0.9569391499647246,0.1312169312169312,0
25,income_group,$200k-$300k,duration_minutes,135,1.5536896926497772,0.18148148148148152,0
26,income_group,$150k-$200k,primary_mode,89,0.9328758820092475,0.1508828250401284,0
27,income_group,$150k-$200k,duration_minutes,89,1.6330115547169124,0.22150882825040127,0
28,employment_status,not_in_labor_force,primary_mode,258,0.5806760339848137,0.12956810631229235,0
29,employment_status,not_in_labor_force,duration_minutes,258,0.8541409825954558,0.16389811738648952,0
30,employment_status,employed,primary_mode,644,0.6829642146641541,0.13975155279503107,0
31,employment_status,employed,duration_minutes,644,1.184633096623538,0.12140033879164312,0
32,employment_status,under_16,primary_mode,72,0.9481856952765909,0.20370370370370372,0
33,employment_status,under_16,duration_minutes,72,1.0296986833646757,0.23888888888888893,0
34,employment_status,unemployed,primary_mode,26,0.9123295831025761,0.15384615384615383,0
35,employment_status,unemployed,duration_minutes,26,1.417295354882878,0.2087912087912088,0
36,household_size,4,primary_mode,153,0.6299553246254272,0.1437908496732026,0
37,household_size,4,duration_minutes,153,1.379066940132827,0.19794584500466852,0
38,household_size,1,primary_mode,302,0.570345870309589,0.1315042573320719,0
39,household_size,1,duration_minutes,302,0.6872928984659024,0.11773362766740249,0
40,household_size,2,primary_mode,290,0.9154680316122538,0.15960591133004925,0
41,household_size,2,duration_minutes,290,1.19393685103558,0.146360153256705,0
42,household_size,6,primary_mode,20,1.6944183414100387,0.15714285714285717,0
43,household_size,6,duration_minutes,20,1.3186901844122931,0.28,0
44,household_size,3,primary_mode,184,0.5628729023011859,0.12577639751552797,0
45,household_size,3,duration_minutes,184,1.2732878424850493,0.19409937888198758,0
46,household_size,5,primary_mode,37,0.5868465175979154,0.15315315315315314,0
47,household_size,5,duration_minutes,37,1.9601039098004251,0.2792792792792793,0
48,available_vehicles,two,primary_mode,179,0.6622677391226424,0.13248204309656825,0
49,available_vehicles,two,duration_minutes,179,1.416229257502886,0.19952114924181963,0
50,available_vehicles,one,primary_mode,409,0.7729707865862934,0.14041215508208174,0
51,available_vehicles,one,duration_minutes,409,1.264365350996845,0.13985330073349633,0
52,available_vehicles,three_plus,primary_mode,27,8.688933160449192,0.16049382716049385,0
53,available_vehicles,three_plus,duration_minutes,27,3.9725773776089297,0.32592592592592595,0
54,available_vehicles,unknown_num_vehicles,primary_mode,156,0.7433586343374649,0.15018315018315018,0
55,available_vehicles,unknown_num_vehicles,duration_minutes,156,0.5985850299382521,0.13186813186813187,0
56,available_vehicles,zero,primary_mode,229,0.7351020730518596,0.148471615720524,0
57,available_vehicles,zero,duration_minutes,229,0.8786502148497924,0.12906356137797184,0
58,education,k_12,primary_mode,101,0.897726322137899,0.17256011315417258,0
59,education,k_12,duration_minutes,101,0.9957707792766473,0.20132013201320134,0
60,education,bachelors_degree,primary_mode,262,0.5734180715633976,0.13086150490730647,0
61,education,bachelors_degree,duration_minutes,262,1.1756375109435306,0.1450381679389313,0
62,education,advanced_degree,primary_mode,353,0.7717267473308097,0.14973694860380413,0
63,education,advanced_degree,duration_minutes,353,1.3435039855973125,0.17776203966005666,0
64,education,some_college,primary_mode,194,0.5578474440289279,0.12960235640648013,0
65,education,some_college,duration_minutes,194,0.774789076122172,0.13917525773195877,0
66,education,high_school,primary_mode,74,1.0129298222133005,0.15444015444015444,0
67,education,high_school,duration_minutes,74,0.9907185525513276,0.16602316602316605,0
68,trip_purpose,eat,primary_mode,95,0.5102609439855227,0.1293233082706767,0
69,trip_purpose,eat,duration_minutes,95,1.0018326834837037,0.16541353383458648,0
70,trip_purpose,work,primary_mode,126,0.6937930450697021,0.1666666666666667,0
71,trip_purpose,work,duration_minutes,126,0.9594896291236121,0.1507936507936508,0
72,trip_purpose,home,primary_mode,426,0.5948874118894185,0.13883299798792756,0
73,trip_purpose,home,duration_minutes,426,1.1469112803389718,0.16784037558685447,0
74,trip_purpose,school,primary_mode,79,0.720580833253089,0.15551537070524413,0
75,trip_purpose,school,duration_minutes,79,0.9792239122375067,0.16636528028933092,0
76,trip_purpose,shop,primary_mode,164,1.1648518218036226,0.13937282229965156,0
77,trip_purpose,shop,duration_minutes,164,1.2270756301053294,0.16615853658536586,0
78,trip_purpose,social,primary_mode,52,2.189887074138805,0.15934065934065936,0
79,trip_purpose,social,duration_minutes,52,1.0017299658250203,0.24615384615384617,0
80,trip_purpose,recreation,primary_mode,35,12.707799068547708,0.17142857142857143,0
81,trip_purpose,recreation,duration_minutes,35,1.8844323761119945,0.2204081632653061,0
82,start_time,14,primary_mode,63,1.2069025610084256,0.1496598639455782,0
83,start_time,14,duration_minutes,63,1.1333175463866552,0.1859410430839002,0
84,start_time,12,primary_mode,56,1.9988093484916791,0.13775510204081634,0
85,start_time,12,duration_minutes,56,0.9856203372868603,0.21428571428571427,0
86,start_time,22,primary_mode,20,0.36604737653370806,0.11666666666666668,0
87,start_time,22,duration_minutes,20,9.369451003514676,0.25,0
88,start_time,19,primary_mode,69,0.5810742740992496,0.15458937198067632,0
89,start_time,19,duration_minutes,69,1.2953819747682669,0.19047619047619047,0
90,start_time,18,primary_mode,62,0.8044043886082484,0.18279569892473116,0
91,start_time,18,duration_minutes,62,1.3040981968475693,0.1935483870967742,0
92,start_time,8,primary_mode,81,0.936210448690339,0.14462081128747797,0
93,start_time,8,duration_minutes,81,0.7532214228445053,0.13403880070546736,0
94,start_time,11,primary_mode,50,0.8679384796454397,0.1542857142857143,0
95,start_time,11,duration_minutes,50,1.12573809773168,0.264,0
96,start_time,15,primary_mode,87,0.681223181837268,0.13793103448275862,0
97,start_time,15,duration_minutes,87,1.0841545041675291,0.1904761904761905,0
98,start_time,6,primary_mode,31,3.4278464882334623,0.16589861751152074,0
99,start_time,6,duration_minutes,31,1.1680119840719085,0.21505376344086022,0
